fecha_hora,usuario,seccion,archivo,filtros,accion
2026-05-11 02:08:11,LuisT,Segunda Caída Fija DC - Pendientes,segunda_caida_fija_dc_pendientes_Diciembre_2025_Todos_los_meses.csv,Base: Diciembre 2025 | Pago: Todos los meses,DESCARGA
2026-05-11 02:08:43,LuisT,Segunda Caída Fija DC - Pagadas Aplica SI,segunda_caida_fija_dc_pagadas_aplica_si_Diciembre_2025_Todos_los_meses.csv,Base: Diciembre 2025 | Pago: Todos los meses,DESCARGA
2026-05-25 02:14:31,Fiorella,Detalle Móvil General,detalle_movil_general.xlsx,Fecha Venta: Febrero 2026 | Canal: Teletalk,DESCARGA
2026-05-25 02:25:54,Fiorella,Detalle Móvil General,detalle_movil_general.xlsx,Fecha Venta: Febrero 2026 | Canal: Teletalk,DESCARGA
2026-05-25 02:38:15,Fiorella,Detalle Móvil General,detalle_movil_general.xlsx,Fecha Venta: Febrero 2026 | Canal: Teletalk,DESCARGA
2026-05-25 02:38:44,Fiorella,Detalle Móvil General,detalle_movil_general.xlsx,Fecha Venta: Febrero 2026 | Canal: Teletalk,DESCARGA
2026-05-25 02:49:02,Fiorella,Detalle Móvil General,detalle_movil_general.xlsx,Fecha Venta: Marzo 2026 | Canal: Teletalk,DESCARGA
2026-05-25 03:05:48,Fiorella,Detalle Móvil General,detalle_movil_general.xlsx,Fecha Venta: Marzo 2026 | Canal: Teletalk,DESCARGA
2026-06-07 21:45:12,Fiorella,Detalle Móvil General,detalle_movil_general.xlsx,Fecha Venta: Todos los meses | Canal: D&C,DESCARGA
2026-06-07 22:23:00,Fiorella,Detalle Fija General,detalle_fija_develz_todos_venta_Abril_2026_D&C.csv,Instalacion: todos | Venta: Abril 2026 | Canal: D&C,DESCARGA
2026-06-07 22:23:00,Fiorella,Detalle Fija General,detalle_fija_develz_todos_venta_Abril_2026_D&C.csv,Instalacion: todos | Venta: Abril 2026 | Canal: D&C,DESCARGA
